u	q	r
14	9078	0.4
19	9078	0.1
27	9078	0.4
186	9078	0.1
25	9079	0.5
27	9079	0.5
2	9081	0.2
3	9081	0.2
11	9081	0.2
41	9081	0.2
38	9081	0.2
25	9082	0.2
27	9082	0.6
41	9082	0.2
3	9084	0.2
144	9084	0.2
224	9084	0.2
351	9084	0.2
61	9084	0.2
87	9085	0.3333333333333333
180	9085	0.3333333333333333
13	9085	0.3333333333333333
3	9086	0.2
9	9086	0.1
26	9086	0.1
57	9086	0.1
74	9086	0.2
2444	9086	0.1
2481	9086	0.1
3585	9086	0.1
2	9087	0.1111111111111111
26	9087	0.1111111111111111
58	9087	0.3333333333333333
84	9087	0.2222222222222222
134	9087	0.1111111111111111
323	9087	0.1111111111111111
2	9088	0.25
36	9088	0.25
82	9088	0.25
72	9088	0.25
9	9091	0.14285714285714285
20	9091	0.42857142857142855
113	9091	0.14285714285714285
134	9091	0.14285714285714285
139	9091	0.14285714285714285
3	9092	0.125
14	9092	0.125
84	9092	0.125
88	9092	0.625
12	9094	0.2
152	9094	0.1
157	9094	0.3
164	9094	0.1
170	9094	0.1
4381	9094	0.1
5383	9094	0.1
79	9095	0.3333333333333333
92	9095	0.3333333333333333
81	9095	0.3333333333333333
25	9096	0.2
27	9096	0.6
44	9096	0.2
3	9097	0.2857142857142857
9	9097	0.14285714285714285
14	9097	0.2857142857142857
2806	9097	0.14285714285714285
3813	9097	0.14285714285714285
2	9099	0.16666666666666666
14	9099	0.16666666666666666
59	9099	0.3333333333333333
105	9099	0.3333333333333333
25	9100	0.5
105	9100	0.5
2	9101	0.14285714285714285
9	9101	0.14285714285714285
12	9101	0.14285714285714285
25	9101	0.14285714285714285
55	9101	0.14285714285714285
4727	9101	0.14285714285714285
105	9101	0.14285714285714285
2	9102	0.03125
11	9102	0.03125
12	9102	0.03125
21	9102	0.03125
59	9102	0.03125
113	9102	0.03125
164	9102	0.03125
875	9102	0.03125
1518	9102	0.03125
2123	9102	0.03125
2573	9102	0.03125
3672	9102	0.03125
4117	9102	0.125
5014	9102	0.03125
6427	9102	0.03125
7551	9102	0.03125
14361	9102	0.0625
18869	9102	0.03125
21281	9102	0.03125
27945	9102	0.0625
28263	9102	0.03125
28428	9102	0.125
31807	9102	0.03125
109	9102	0.03125
3	9103	0.05
21	9103	0.05
120	9103	0.05
7736	9103	0.15
26450	9103	0.2
26769	9103	0.05
30895	9103	0.2
32349	9103	0.15
34694	9103	0.05
112	9103	0.05
3	9104	0.3333333333333333
14	9104	0.3333333333333333
118	9104	0.3333333333333333
2	9106	0.25
3	9106	0.25
178	9106	0.25
124	9106	0.25
3	9107	0.2
25	9107	0.2
57	9107	0.2
885	9107	0.2
127	9107	0.2
25	9108	0.14285714285714285
126	9108	0.42857142857142855
134	9108	0.21428571428571427
180	9108	0.07142857142857142
10711	9108	0.07142857142857142
20363	9108	0.07142857142857142
128	9110	0.4444444444444444
139	9110	0.3333333333333333
189	9110	0.1111111111111111
226	9110	0.1111111111111111
3	9111	0.25
14	9111	0.25
131	9111	0.5
2	9112	0.5
74	9112	0.5
13	9114	0.25
14	9114	0.25
56	9114	0.375
1519	9114	0.125
3	9115	0.14285714285714285
11	9115	0.2857142857142857
12	9115	0.42857142857142855
44	9115	0.14285714285714285
3	9116	0.14285714285714285
11	9116	0.2857142857142857
25	9116	0.14285714285714285
58	9116	0.2857142857142857
84	9116	0.14285714285714285
14	9119	0.25
47	9119	0.25
84	9119	0.25
74	9119	0.25
7	9120	0.3333333333333333
25	9120	0.3333333333333333
14	9120	0.3333333333333333
3	9121	0.3333333333333333
7	9121	0.3333333333333333
117	9121	0.3333333333333333
58	9122	0.6666666666666666
105	9122	0.3333333333333333
25	9123	0.4
30	9123	0.6
92	9125	1.0
19	9126	0.25
129	9126	0.5
301	9126	0.25
30	9127	0.5
106	9127	0.5
