,A,A-q,B,B-q,C,C-q,D,D-q
10414,100.0,57355,100.0,57355,100.0,57355,100.0,57355
10415,10.0,9945,36.0,9945,5.0,9945,20.0,9945
10416,2.0,60925,19.0,60925,26.0,60925,100.0,60925
10417,31.0,218744,100.0,218744,65.0,218744,100.0,218744
10418,67.0,64065,52.0,64065,4.0,64065,5.0,64065
10419,10.0,146111,33.0,146111,13.0,146111,19.0,146111
10420,6.0,33852,100.0,33852,14.0,33852,100.0,33852
10421,3.0,46051,68.0,46051,43.0,46051,100.0,46051
10422,3.0,256001,7.0,256001,6.0,256001,9.0,256001
10423,18.0,99546,18.0,99546,9.0,99546,15.0,99546
10424,65.0,193267,69.0,193267,15.0,193267,27.0,193267
10425,5.0,243080,100.0,243080,8.0,243080,100.0,243080
10426,0.0,32039,4.0,32039,0.0,32039,3.0,32039
10427,90.0,63935,100.0,63935,0.0,63935,1.0,63935
10428,7.0,186435,100.0,186435,11.0,186435,100.0,186435
10429,100.0,113761,100.0,113761,3.0,113761,0.0,113761
10430,45.0,33628,48.0,33628,25.0,33628,55.0,33628
10431,7.0,224502,19.0,224502,5.0,224502,9.0,224502
10432,14.0,45411,6.0,45411,4.0,45411,7.0,45411
10433,100.0,29730,100.0,29730,100.0,29730,79.0,29730
10434,38.0,30784,100.0,30784,95.0,30784,100.0,30784
10435,11.0,236600,21.0,236600,27.0,236600,62.0,236600
10436,35.0,9400,100.0,9400,57.0,9400,83.0,9400
10437,91.0,33002,100.0,33002,100.0,33002,100.0,33002
10438,5.0,89946,70.0,89946,26.0,89946,85.0,89946
10439,3.0,191889,3.0,191889,3.0,191889,7.0,191889
10440,2.0,200677,100.0,200677,5.0,200677,100.0,200677
10441,100.0,32756,100.0,32756,100.0,32756,100.0,32756
10442,20.0,9115,96.0,9115,38.0,9115,100.0,9115
10443,70.0,59648,100.0,59648,18.0,59648,35.0,59648
10444,11.0,243645,11.0,243645,13.0,243645,14.0,243645
10445,100.0,249862,100.0,249862,10.0,249862,12.0,249862
10446,100.0,230042,100.0,230042,21.0,230042,100.0,230042
10447,17.0,108091,31.0,108091,5.0,108091,14.0,108091
10448,100.0,289783,100.0,289783,100.0,289783,100.0,289783
10449,100.0,182030,34.0,182030,17.0,182030,29.0,182030
10450,3.0,212099,2.0,212099,2.0,212099,3.0,212099
10451,2.0,133791,12.0,133791,10.0,133791,59.0,133791
10452,46.0,186970,31.0,186970,52.0,186970,43.0,186970
10453,17.0,193764,38.0,193764,5.0,193764,28.0,193764
10454,2.0,9683,6.0,9683,4.0,9683,12.0,9683
10455,100.0,38137,32.0,38137,17.0,38137,22.0,38137
10456,0.0,292989,2.0,292989,0.0,292989,0.0,292989
10457,100.0,58665,100.0,58665,100.0,58665,84.0,58665
10458,5.0,221346,100.0,221346,5.0,221346,100.0,221346
10459,100.0,130386,100.0,130386,3.0,130386,3.0,130386
10460,4.0,66449,6.0,66449,4.0,66449,6.0,66449
10461,11.0,188606,100.0,188606,17.0,188606,100.0,188606
10462,12.0,9457,60.0,9457,26.0,9457,77.0,9457
10463,9.0,285431,50.0,285431,16.0,285431,100.0,285431
10464,38.0,199152,88.0,199152,27.0,199152,59.0,199152
10465,1.0,11061,8.0,11061,1.0,11061,21.0,11061
10466,1.0,9142,6.0,9142,3.0,9142,2.0,9142
10467,13.0,190723,88.0,190723,44.0,190723,100.0,190723
10468,100.0,29634,12.0,29634,5.0,29634,3.0,29634
10469,3.0,246369,3.0,246369,1.0,246369,7.0,246369
10470,0.0,59536,0.0,59536,0.0,59536,4.0,59536
10471,1.0,172663,1.0,172663,1.0,172663,1.0,172663
10472,5.0,10559,13.0,10559,1.0,10559,2.0,10559
10473,0.0,31654,1.0,31654,1.0,31654,14.0,31654
10474,20.0,196862,15.0,196862,4.0,196862,3.0,196862
10475,100.0,267988,0.0,267988,1.0,267988,0.0,267988
10476,100.0,34143,100.0,34143,100.0,34143,100.0,34143
10477,100.0,247597,100.0,247597,100.0,247597,100.0,247597
10478,13.0,12071,33.0,12071,18.0,12071,15.0,12071
10479,100.0,66760,100.0,66760,15.0,66760,78.0,66760
10480,24.0,34837,72.0,34837,63.0,34837,100.0,34837
10481,4.0,11780,6.0,11780,4.0,11780,3.0,11780
10482,3.0,76717,11.0,76717,5.0,76717,39.0,76717
10483,100.0,280994,100.0,280994,100.0,280994,100.0,280994
10484,67.0,159401,100.0,159401,72.0,159401,100.0,159401
10485,3.0,10191,14.0,10191,27.0,10191,100.0,10191
10486,54.0,104991,100.0,104991,35.0,104991,57.0,104991
10487,1.0,30931,11.0,30931,1.0,30931,12.0,30931
10488,54.0,38402,54.0,38402,54.0,38402,54.0,38402
10489,0.0,35230,0.0,35230,0.0,35230,2.0,35230
10490,0.0,33167,3.0,33167,0.0,33167,2.0,33167
10491,1.0,214244,2.0,214244,2.0,214244,4.0,214244
10492,100.0,12790,5.0,12790,24.0,12790,3.0,12790
10493,21.0,190304,38.0,190304,68.0,190304,100.0,190304
10494,33.0,48583,100.0,48583,25.0,48583,60.0,48583
10495,100.0,56122,100.0,56122,100.0,56122,100.0,56122
10496,76.0,107981,100.0,107981,100.0,107981,100.0,107981
10497,100.0,193197,100.0,193197,8.0,193197,27.0,193197
10498,100.0,9973,100.0,9973,100.0,9973,96.0,9973
10499,12.0,57363,100.0,57363,9.0,57363,58.0,57363
10500,0.0,197750,0.0,197750,0.0,197750,0.0,197750
10501,18.0,59453,35.0,59453,23.0,59453,60.0,59453
10502,100.0,55923,9.0,55923,2.0,55923,3.0,55923
10503,83.0,11387,12.0,11387,100.0,11387,55.0,11387
10504,18.0,10980,99.0,10980,21.0,10980,100.0,10980
10505,100.0,64268,100.0,64268,100.0,64268,100.0,64268
10506,15.0,194193,15.0,194193,3.0,194193,19.0,194193
10507,14.0,62646,15.0,62646,29.0,62646,56.0,62646
10508,0.0,12544,0.0,12544,0.0,12544,1.0,12544
10509,2.0,256349,8.0,256349,3.0,256349,10.0,256349
10510,1.0,188919,1.0,188919,2.0,188919,1.0,188919
10511,100.0,10129,19.0,10129,31.0,10129,70.0,10129
10512,44.0,65029,100.0,65029,62.0,65029,100.0,65029
10513,0.0,223530,80.0,223530,7.0,223530,100.0,223530
10514,4.0,70801,10.0,70801,3.0,70801,8.0,70801
10515,100.0,113096,99.0,113096,62.0,113096,81.0,113096
10516,0.0,10715,0.0,10715,0.0,10715,2.0,10715
10517,0.0,11807,12.0,11807,1.0,11807,8.0,11807
10518,1.0,9924,5.0,9924,4.0,9924,11.0,9924
10519,100.0,247734,98.0,247734,5.0,247734,33.0,247734
10520,11.0,45309,41.0,45309,6.0,45309,8.0,45309
10521,100.0,194255,6.0,194255,11.0,194255,11.0,194255
10522,18.0,264957,78.0,264957,19.0,264957,92.0,264957
10523,100.0,206404,100.0,206404,86.0,206404,91.0,206404
10524,100.0,61093,100.0,61093,100.0,61093,100.0,61093
10525,2.0,92111,17.0,92111,2.0,92111,2.0,92111
10526,1.0,12047,50.0,12047,9.0,12047,100.0,12047
10527,56.0,135331,20.0,135331,10.0,135331,25.0,135331
10528,0.0,196854,0.0,196854,0.0,196854,4.0,196854
10529,35.0,59853,49.0,59853,41.0,59853,73.0,59853
10530,100.0,228940,100.0,228940,63.0,228940,100.0,228940
10531,3.0,173947,4.0,173947,2.0,173947,5.0,173947
10532,100.0,103716,100.0,103716,15.0,103716,96.0,103716
10533,2.0,245820,100.0,245820,1.0,245820,44.0,245820
10534,26.0,59500,30.0,59500,15.0,59500,14.0,59500
10535,1.0,182401,1.0,182401,1.0,182401,1.0,182401
10536,14.0,10996,100.0,10996,45.0,10996,100.0,10996
10537,30.0,174851,12.0,174851,12.0,174851,14.0,174851
10538,2.0,28290,13.0,28290,7.0,28290,11.0,28290
10539,100.0,194306,73.0,194306,60.0,194306,30.0,194306
10540,3.0,160111,3.0,160111,3.0,160111,7.0,160111
10541,100.0,52966,100.0,52966,100.0,52966,100.0,52966
10542,0.0,29194,4.0,29194,0.0,29194,20.0,29194
10543,17.0,75253,100.0,75253,21.0,75253,100.0,75253
10544,1.0,84616,2.0,84616,4.0,84616,7.0,84616
10545,1.0,226231,17.0,226231,4.0,226231,28.0,226231
10546,1.0,10703,72.0,10703,5.0,10703,100.0,10703
10547,27.0,284646,51.0,284646,41.0,284646,100.0,284646
10548,8.0,12694,24.0,12694,5.0,12694,15.0,12694
10549,100.0,124961,1.0,124961,1.0,124961,1.0,124961
10550,1.0,55827,5.0,55827,2.0,55827,8.0,55827
10551,4.0,51537,5.0,51537,7.0,51537,18.0,51537
10552,77.0,205290,50.0,205290,19.0,205290,54.0,205290
10553,5.0,235626,100.0,235626,10.0,235626,100.0,235626
10554,100.0,12155,100.0,12155,75.0,12155,25.0,12155
10555,28.0,111906,69.0,111906,76.0,111906,100.0,111906
10556,100.0,233822,100.0,233822,16.0,233822,45.0,233822
10557,91.0,213597,100.0,213597,19.0,213597,100.0,213597
10558,6.0,10611,28.0,10611,3.0,10611,16.0,10611
10559,7.0,202369,100.0,202369,21.0,202369,100.0,202369
10560,55.0,9965,100.0,9965,92.0,9965,100.0,9965
10561,100.0,284241,100.0,284241,12.0,284241,14.0,284241
10562,100.0,193181,0.0,193181,0.0,193181,0.0,193181
10563,35.0,12987,95.0,12987,62.0,12987,100.0,12987
10564,2.0,80946,18.0,80946,15.0,80946,65.0,80946
10565,100.0,75013,100.0,75013,100.0,75013,100.0,75013
10566,1.0,204803,7.0,204803,1.0,204803,1.0,204803
10567,100.0,12084,100.0,12084,18.0,12084,100.0,12084
10568,100.0,10543,100.0,10543,49.0,10543,62.0,10543
10569,100.0,33223,100.0,33223,100.0,33223,100.0,33223
10570,100.0,33736,63.0,33736,4.0,33736,27.0,33736
10571,100.0,59469,93.0,59469,100.0,59469,100.0,59469
10572,1.0,72739,23.0,72739,6.0,72739,67.0,72739
10573,35.0,64747,100.0,64747,100.0,64747,100.0,64747
10574,33.0,201617,76.0,201617,100.0,201617,100.0,201617
10575,1.0,251320,3.0,251320,1.0,251320,1.0,251320
10576,1.0,40131,1.0,40131,1.0,40131,1.0,40131
10577,100.0,206701,6.0,206701,0.0,206701,0.0,206701
10578,0.0,193400,1.0,193400,1.0,193400,3.0,193400
10579,4.0,173654,5.0,173654,4.0,173654,13.0,173654
10580,22.0,196252,14.0,196252,33.0,196252,67.0,196252
10581,100.0,40424,100.0,40424,100.0,40424,100.0,40424
10582,48.0,67307,100.0,67307,8.0,67307,19.0,67307
10583,0.0,10390,4.0,10390,0.0,10390,2.0,10390
10584,46.0,67079,16.0,67079,15.0,67079,15.0,67079
10585,22.0,197382,100.0,197382,46.0,197382,100.0,197382
10586,16.0,59982,50.0,59982,3.0,59982,85.0,59982
10587,4.0,58690,93.0,58690,10.0,58690,100.0,58690
10588,3.0,279037,34.0,279037,14.0,279037,66.0,279037
10589,100.0,227267,100.0,227267,3.0,227267,27.0,227267
10590,100.0,11305,58.0,11305,12.0,11305,17.0,11305
10591,6.0,208932,83.0,208932,10.0,208932,100.0,208932
10592,100.0,32520,100.0,32520,4.0,32520,4.0,32520
10593,0.0,190502,1.0,190502,0.0,190502,1.0,190502
10594,46.0,11493,100.0,11493,100.0,11493,100.0,11493
10595,2.0,38204,84.0,38204,2.0,38204,67.0,38204
10596,2.0,27958,8.0,27958,6.0,27958,11.0,27958
10597,30.0,11539,18.0,11539,20.0,11539,42.0,11539
10598,22.0,39946,18.0,39946,12.0,39946,30.0,39946
10599,70.0,10282,100.0,10282,9.0,10282,60.0,10282
10600,100.0,211569,100.0,211569,5.0,211569,100.0,211569
10601,2.0,213554,5.0,213554,2.0,213554,4.0,213554
10602,10.0,200378,2.0,200378,10.0,200378,14.0,200378
10603,52.0,240136,22.0,240136,62.0,240136,70.0,240136
10604,28.0,34698,100.0,34698,43.0,34698,100.0,34698
10605,100.0,216243,11.0,216243,12.0,216243,10.0,216243
10606,21.0,254460,12.0,254460,4.0,254460,26.0,254460
10607,0.0,265297,16.0,265297,0.0,265297,2.0,265297
10608,100.0,50920,8.0,50920,45.0,50920,8.0,50920
10609,20.0,190902,100.0,190902,54.0,190902,100.0,190902
10610,1.0,61441,0.0,61441,1.0,61441,27.0,61441
10611,1.0,164216,3.0,164216,1.0,164216,3.0,164216
10612,3.0,57573,9.0,57573,2.0,57573,3.0,57573
10613,22.0,73186,41.0,73186,13.0,73186,32.0,73186
10614,3.0,52321,16.0,52321,4.0,52321,42.0,52321
10615,0.0,247489,2.0,247489,0.0,247489,3.0,247489
10616,59.0,256277,38.0,256277,85.0,256277,100.0,256277
10617,4.0,226175,24.0,226175,12.0,226175,96.0,226175
10618,85.0,64356,56.0,64356,18.0,64356,100.0,64356
10619,100.0,71857,100.0,71857,100.0,71857,100.0,71857
10620,8.0,12883,100.0,12883,16.0,12883,100.0,12883
10621,70.0,12929,100.0,12929,26.0,12929,89.0,12929
10622,8.0,152261,11.0,152261,12.0,152261,76.0,152261
10623,100.0,262682,0.0,262682,14.0,262682,0.0,262682
10624,100.0,207151,100.0,207151,100.0,207151,100.0,207151
10625,4.0,203542,6.0,203542,2.0,203542,3.0,203542
10626,38.0,39815,40.0,39815,57.0,39815,100.0,39815
10627,8.0,9119,12.0,9119,6.0,9119,13.0,9119
10628,52.0,59644,100.0,59644,96.0,59644,100.0,59644
10629,11.0,270980,10.0,270980,6.0,270980,7.0,270980
10630,3.0,64993,27.0,64993,8.0,64993,80.0,64993
10631,100.0,233818,100.0,233818,25.0,233818,10.0,233818
10632,15.0,230737,100.0,230737,53.0,230737,100.0,230737
10633,56.0,11939,100.0,11939,97.0,11939,100.0,11939
10634,34.0,263355,22.0,263355,34.0,263355,30.0,263355
10635,15.0,66279,54.0,66279,15.0,66279,23.0,66279
10636,16.0,65843,100.0,65843,70.0,65843,100.0,65843
10637,2.0,9322,6.0,9322,3.0,9322,4.0,9322
10638,34.0,193046,1.0,193046,5.0,193046,1.0,193046
10639,100.0,31967,100.0,31967,100.0,31967,100.0,31967
10640,25.0,139001,100.0,139001,26.0,139001,100.0,139001
10641,100.0,11082,38.0,11082,100.0,11082,44.0,11082
10642,1.0,191978,10.0,191978,1.0,191978,1.0,191978
10643,1.0,12704,6.0,12704,1.0,12704,15.0,12704
10644,0.0,35924,0.0,35924,0.0,35924,1.0,35924
10645,57.0,125921,21.0,125921,40.0,125921,71.0,125921
10646,12.0,12641,29.0,12641,0.0,12641,14.0,12641
10647,0.0,216202,1.0,216202,1.0,216202,3.0,216202
10648,0.0,66853,0.0,66853,0.0,66853,2.0,66853
10649,32.0,217043,100.0,217043,65.0,217043,100.0,217043
10650,42.0,117016,100.0,117016,66.0,117016,100.0,117016
10651,28.0,272840,100.0,272840,54.0,272840,100.0,272840
10652,100.0,182656,79.0,182656,5.0,182656,24.0,182656
10653,1.0,257349,100.0,257349,2.0,257349,100.0,257349
10654,100.0,217107,100.0,217107,69.0,217107,54.0,217107
10655,53.0,54866,7.0,54866,9.0,54866,29.0,54866
10656,100.0,33058,6.0,33058,5.0,33058,24.0,33058
10657,33.0,11980,100.0,11980,42.0,11980,100.0,11980
10658,100.0,138611,100.0,138611,100.0,138611,100.0,138611
10659,100.0,140066,22.0,140066,31.0,140066,54.0,140066
10660,84.0,44470,100.0,44470,100.0,44470,100.0,44470
10661,33.0,40433,57.0,40433,39.0,40433,100.0,40433
10662,46.0,225133,21.0,225133,59.0,225133,44.0,225133
10663,12.0,10104,69.0,10104,20.0,10104,100.0,10104
10664,1.0,200154,8.0,200154,1.0,200154,3.0,200154
10665,4.0,12569,7.0,12569,5.0,12569,18.0,12569
10666,100.0,64615,100.0,64615,100.0,64615,100.0,64615
10667,26.0,214814,23.0,214814,6.0,214814,41.0,214814
10668,2.0,251858,2.0,251858,1.0,251858,2.0,251858
10669,3.0,56271,10.0,56271,8.0,56271,38.0,56271
10670,11.0,9323,19.0,9323,6.0,9323,10.0,9323
10671,100.0,261851,100.0,261851,100.0,261851,100.0,261851
10672,44.0,60343,84.0,60343,20.0,60343,53.0,60343
10673,39.0,259584,100.0,259584,51.0,259584,100.0,259584
10674,8.0,10411,100.0,10411,15.0,10411,89.0,10411
10675,100.0,55689,100.0,55689,53.0,55689,85.0,55689
10676,0.0,81881,3.0,81881,2.0,81881,7.0,81881
10677,3.0,39052,5.0,39052,0.0,39052,5.0,39052
10678,84.0,41760,6.0,41760,8.0,41760,8.0,41760
10679,10.0,45689,4.0,45689,3.0,45689,7.0,45689
10680,10.0,11191,26.0,11191,7.0,11191,21.0,11191
10681,37.0,187815,28.0,187815,30.0,187815,28.0,187815
10682,0.0,163751,0.0,163751,0.0,163751,1.0,163751
10683,5.0,202647,15.0,202647,4.0,202647,32.0,202647
10684,21.0,11938,100.0,11938,30.0,11938,96.0,11938
10685,0.0,32188,3.0,32188,1.0,32188,17.0,32188
10686,23.0,274242,34.0,274242,24.0,274242,32.0,274242
10687,0.0,78231,1.0,78231,0.0,78231,2.0,78231
10688,7.0,227270,32.0,227270,35.0,227270,100.0,227270
10689,1.0,61913,25.0,61913,1.0,61913,6.0,61913
10690,20.0,182894,18.0,182894,5.0,182894,19.0,182894
10691,100.0,33263,100.0,33263,60.0,33263,93.0,33263
10692,40.0,295742,100.0,295742,50.0,295742,100.0,295742
10693,3.0,33326,100.0,33326,12.0,33326,100.0,33326
10694,1.0,60314,25.0,60314,2.0,60314,100.0,60314
10695,100.0,12882,100.0,12882,1.0,12882,1.0,12882
10696,1.0,9724,1.0,9724,0.0,9724,1.0,9724
10697,100.0,83296,51.0,83296,12.0,83296,8.0,83296
10698,2.0,64068,100.0,64068,12.0,64068,100.0,64068
10699,8.0,248854,11.0,248854,7.0,248854,96.0,248854
10700,48.0,144571,100.0,144571,59.0,144571,100.0,144571
10701,65.0,201568,100.0,201568,100.0,201568,100.0,201568
10702,100.0,10283,81.0,10283,34.0,10283,56.0,10283
10703,0.0,31474,0.0,31474,0.0,31474,10.0,31474
10704,73.0,54962,100.0,54962,4.0,54962,33.0,54962
10705,100.0,85991,100.0,85991,2.0,85991,2.0,85991
10706,45.0,115591,100.0,115591,99.0,115591,100.0,115591
10707,0.0,31618,1.0,31618,0.0,31618,5.0,31618
10708,70.0,236924,100.0,236924,99.0,236924,100.0,236924
10709,100.0,269466,22.0,269466,71.0,269466,100.0,269466
10710,6.0,10515,11.0,10515,14.0,10515,73.0,10515
10711,0.0,28069,1.0,28069,1.0,28069,4.0,28069
10712,100.0,122031,100.0,122031,100.0,122031,100.0,122031
10713,100.0,54718,100.0,54718,100.0,54718,100.0,54718
10714,24.0,69436,100.0,69436,6.0,69436,12.0,69436
10715,1.0,38985,100.0,38985,8.0,38985,100.0,38985
10716,1.0,86981,100.0,86981,2.0,86981,100.0,86981
10717,0.0,34271,48.0,34271,0.0,34271,2.0,34271
10718,100.0,196253,5.0,196253,2.0,196253,2.0,196253
10719,2.0,54173,1.0,54173,3.0,54173,5.0,54173
10720,100.0,35460,100.0,35460,100.0,35460,43.0,35460
10721,100.0,40560,100.0,40560,100.0,40560,100.0,40560
10722,72.0,204678,26.0,204678,74.0,204678,23.0,204678
10723,1.0,37148,1.0,37148,4.0,37148,5.0,37148
10724,1.0,9509,1.0,9509,1.0,9509,2.0,9509
10725,100.0,58015,100.0,58015,100.0,58015,100.0,58015
10726,0.0,214228,19.0,214228,0.0,214228,100.0,214228
10727,1.0,221166,1.0,221166,1.0,221166,1.0,221166
10728,6.0,67756,13.0,67756,6.0,67756,28.0,67756
10729,8.0,11353,52.0,11353,8.0,11353,29.0,11353
10730,100.0,217687,19.0,217687,100.0,217687,23.0,217687
10731,5.0,233622,100.0,233622,23.0,233622,100.0,233622
10732,1.0,222033,2.0,222033,3.0,222033,5.0,222033
10733,1.0,70210,1.0,70210,0.0,70210,1.0,70210
10734,100.0,36470,7.0,36470,4.0,36470,3.0,36470
10735,0.0,10407,2.0,10407,4.0,10407,20.0,10407
10736,100.0,62738,100.0,62738,100.0,62738,100.0,62738
10737,100.0,50219,100.0,50219,10.0,50219,44.0,50219
10738,12.0,289370,91.0,289370,7.0,289370,58.0,289370
10739,0.0,201616,11.0,201616,0.0,201616,27.0,201616
10740,7.0,9765,2.0,9765,19.0,9765,66.0,9765
10741,80.0,191715,75.0,191715,37.0,191715,42.0,191715
10742,20.0,9088,100.0,9088,36.0,9088,100.0,9088
10743,66.0,169366,100.0,169366,67.0,169366,100.0,169366
10744,100.0,39087,2.0,39087,1.0,39087,6.0,39087
10745,100.0,9821,13.0,9821,4.0,9821,6.0,9821
10746,8.0,12338,35.0,12338,15.0,12338,100.0,12338
10747,7.0,60007,3.0,60007,7.0,60007,3.0,60007
10748,22.0,263381,100.0,263381,42.0,263381,100.0,263381
10749,25.0,205507,25.0,205507,6.0,205507,9.0,205507
10750,5.0,194645,100.0,194645,13.0,194645,100.0,194645
10751,0.0,30249,0.0,30249,0.0,30249,9.0,30249
10752,0.0,11514,2.0,11514,0.0,11514,7.0,11514
10753,2.0,93886,6.0,93886,3.0,93886,29.0,93886
10754,0.0,9067,0.0,9067,0.0,9067,2.0,9067
10755,0.0,216901,0.0,216901,0.0,216901,0.0,216901
10756,26.0,287745,47.0,287745,35.0,287745,100.0,287745
10757,15.0,40632,45.0,40632,25.0,40632,33.0,40632
10758,54.0,83756,50.0,83756,10.0,83756,6.0,83756
10759,0.0,173507,89.0,173507,1.0,173507,99.0,173507
10760,29.0,11282,100.0,11282,56.0,11282,100.0,11282
10761,100.0,200093,1.0,200093,5.0,200093,1.0,200093
10762,11.0,259506,48.0,259506,11.0,259506,14.0,259506
10763,100.0,51865,90.0,51865,100.0,51865,45.0,51865
10764,100.0,50327,100.0,50327,100.0,50327,100.0,50327
10765,34.0,12380,30.0,12380,59.0,12380,73.0,12380
10766,7.0,10217,8.0,10217,7.0,10217,8.0,10217
10767,6.0,74506,100.0,74506,7.0,74506,100.0,74506
10768,28.0,32736,100.0,32736,9.0,32736,59.0,32736
10769,100.0,218227,100.0,218227,100.0,218227,100.0,218227
10770,1.0,40059,7.0,40059,3.0,40059,57.0,40059
10771,0.0,227071,21.0,227071,5.0,227071,100.0,227071
10772,100.0,173383,1.0,173383,0.0,173383,1.0,173383
10773,4.0,11810,5.0,11810,5.0,11810,4.0,11810
10774,3.0,275652,5.0,275652,3.0,275652,6.0,275652
10775,20.0,9899,4.0,9899,35.0,9899,30.0,9899
10776,25.0,220167,26.0,220167,29.0,220167,42.0,220167
10777,30.0,9749,57.0,9749,56.0,9749,100.0,9749
10778,0.0,217214,0.0,217214,0.0,217214,0.0,217214
10779,0.0,182545,23.0,182545,3.0,182545,100.0,182545
10780,10.0,10581,7.0,10581,14.0,10581,9.0,10581
10781,100.0,59917,100.0,59917,5.0,59917,12.0,59917
10782,100.0,60396,3.0,60396,20.0,60396,9.0,60396
10783,84.0,35620,100.0,35620,100.0,35620,100.0,35620
10784,42.0,276087,100.0,276087,59.0,276087,100.0,276087
10785,100.0,274110,100.0,274110,100.0,274110,71.0,274110
10786,100.0,126766,57.0,126766,100.0,126766,75.0,126766
10787,21.0,126336,93.0,126336,18.0,126336,25.0,126336
10788,48.0,9860,100.0,9860,5.0,9860,2.0,9860
10789,76.0,12729,100.0,12729,5.0,12729,3.0,12729
10790,1.0,52567,100.0,52567,1.0,52567,100.0,52567
10791,3.0,31049,6.0,31049,0.0,31049,2.0,31049
10792,0.0,256124,0.0,256124,0.0,256124,0.0,256124
10793,63.0,230608,41.0,230608,16.0,230608,28.0,230608
10794,78.0,54519,78.0,54519,78.0,54519,78.0,54519
10795,0.0,78026,17.0,78026,0.0,78026,12.0,78026
10796,19.0,228238,83.0,228238,31.0,228238,100.0,228238
10797,100.0,34498,100.0,34498,100.0,34498,100.0,34498
10798,9.0,234132,11.0,234132,22.0,234132,83.0,234132
10799,5.0,12953,10.0,12953,3.0,12953,15.0,12953
10800,3.0,11693,26.0,11693,7.0,11693,84.0,11693
10801,1.0,233248,13.0,233248,3.0,233248,36.0,233248
10802,4.0,206805,9.0,206805,4.0,206805,15.0,206805
10803,100.0,196906,14.0,196906,34.0,196906,19.0,196906
10804,3.0,212846,100.0,212846,15.0,212846,100.0,212846
10805,55.0,91511,100.0,91511,63.0,91511,100.0,91511
10806,4.0,126731,11.0,126731,8.0,126731,14.0,126731
10807,100.0,207039,100.0,207039,100.0,207039,100.0,207039
10808,2.0,115401,4.0,115401,6.0,115401,33.0,115401
10809,100.0,196681,15.0,196681,12.0,196681,3.0,196681
10810,10.0,51609,42.0,51609,9.0,51609,24.0,51609
10811,0.0,37125,5.0,37125,3.0,37125,52.0,37125
10812,100.0,110316,100.0,110316,100.0,110316,100.0,110316
10813,3.0,9421,52.0,9421,5.0,9421,100.0,9421
10814,100.0,208323,100.0,208323,100.0,208323,100.0,208323
10815,100.0,10743,100.0,10743,78.0,10743,26.0,10743
10816,13.0,9972,100.0,9972,1.0,9972,39.0,9972
10817,1.0,29357,3.0,29357,1.0,29357,38.0,29357
10818,3.0,158641,7.0,158641,1.0,158641,11.0,158641
10819,27.0,67804,69.0,67804,44.0,67804,100.0,67804
10820,7.0,62305,47.0,62305,7.0,62305,70.0,62305
10821,100.0,197356,100.0,197356,100.0,197356,30.0,197356
10822,100.0,67107,100.0,67107,68.0,67107,100.0,67107
10823,78.0,189348,100.0,189348,9.0,189348,49.0,189348
10824,28.0,10190,100.0,10190,89.0,10190,100.0,10190
10825,100.0,45563,63.0,45563,11.0,45563,28.0,45563
10826,100.0,201319,37.0,201319,5.0,201319,7.0,201319
10827,0.0,263925,0.0,263925,0.0,263925,0.0,263925
10828,100.0,46338,100.0,46338,7.0,46338,72.0,46338
10829,100.0,175148,100.0,175148,100.0,175148,100.0,175148
10830,100.0,202020,100.0,202020,100.0,202020,100.0,202020
10831,0.0,54240,4.0,54240,0.0,54240,11.0,54240
10832,0.0,30101,5.0,30101,0.0,30101,42.0,30101
10833,61.0,9285,100.0,9285,19.0,9285,6.0,9285
10834,0.0,12359,1.0,12359,1.0,12359,3.0,12359
10835,1.0,10364,2.0,10364,1.0,10364,11.0,10364
10836,100.0,42814,100.0,42814,100.0,42814,100.0,42814
10837,0.0,52547,1.0,52547,0.0,52547,2.0,52547
10838,48.0,31069,100.0,31069,49.0,31069,100.0,31069
10839,100.0,9456,100.0,9456,100.0,9456,100.0,9456
10840,2.0,51691,2.0,51691,5.0,51691,55.0,51691
10841,50.0,11430,86.0,11430,94.0,11430,100.0,11430
10842,7.0,42951,5.0,42951,9.0,42951,7.0,42951
10843,12.0,33795,39.0,33795,16.0,33795,36.0,33795
10844,1.0,69586,1.0,69586,1.0,69586,3.0,69586
10845,100.0,199387,5.0,199387,49.0,199387,16.0,199387
10846,100.0,42269,100.0,42269,41.0,42269,49.0,42269
10847,100.0,56380,100.0,56380,19.0,56380,77.0,56380
10848,2.0,9728,5.0,9728,6.0,9728,14.0,9728
10849,0.0,212427,1.0,212427,0.0,212427,2.0,212427
10850,9.0,249475,100.0,249475,2.0,249475,50.0,249475
10851,25.0,235304,97.0,235304,19.0,235304,100.0,235304
10852,6.0,202427,4.0,202427,3.0,202427,4.0,202427
10853,1.0,11172,1.0,11172,1.0,11172,2.0,11172
10854,100.0,204770,82.0,204770,2.0,204770,3.0,204770
10855,2.0,252110,7.0,252110,4.0,252110,100.0,252110
10856,0.0,246503,3.0,246503,1.0,246503,3.0,246503
10857,0.0,27943,1.0,27943,0.0,27943,5.0,27943
10858,0.0,10299,0.0,10299,4.0,10299,19.0,10299
10859,5.0,36651,3.0,36651,2.0,36651,2.0,36651
10860,5.0,237010,60.0,237010,10.0,237010,92.0,237010
10861,25.0,50468,100.0,50468,45.0,50468,100.0,50468
10862,100.0,41279,100.0,41279,100.0,41279,53.0,41279
10863,2.0,11037,2.0,11037,1.0,11037,2.0,11037
