,A,A-q,B,B-q,C,C-q,D,D-q
148,44.0,9255,100.0,9255,65.0,9255,100.0,9255
149,1.0,247116,14.0,247116,5.0,247116,29.0,247116
150,1.0,50545,1.0,50545,1.0,50545,2.0,50545
151,21.0,102676,22.0,102676,35.0,102676,59.0,102676
152,19.0,9613,55.0,9613,5.0,9613,16.0,9613
153,22.0,71824,35.0,71824,46.0,71824,98.0,71824
154,100.0,202320,12.0,202320,11.0,202320,7.0,202320
155,80.0,79281,37.0,79281,38.0,79281,48.0,79281
156,17.0,62834,49.0,62834,11.0,62834,90.0,62834
157,100.0,59725,100.0,59725,100.0,59725,100.0,59725
158,5.0,34214,2.0,34214,18.0,34214,23.0,34214
159,68.0,229860,100.0,229860,74.0,229860,100.0,229860
160,100.0,231380,41.0,231380,17.0,231380,59.0,231380
161,80.0,100871,100.0,100871,100.0,100871,64.0,100871
162,1.0,61872,1.0,61872,1.0,61872,1.0,61872
163,1.0,11789,2.0,11789,2.0,11789,10.0,11789
164,2.0,11623,11.0,11623,1.0,11623,11.0,11623
165,100.0,207089,100.0,207089,10.0,207089,4.0,207089
166,1.0,58498,3.0,58498,1.0,58498,4.0,58498
167,27.0,35844,69.0,35844,51.0,35844,100.0,35844
168,4.0,32544,9.0,32544,6.0,32544,13.0,32544
169,0.0,228676,0.0,228676,0.0,228676,0.0,228676
170,3.0,208413,14.0,208413,11.0,208413,23.0,208413
171,1.0,54550,0.0,54550,0.0,54550,1.0,54550
172,2.0,65718,2.0,65718,2.0,65718,3.0,65718
173,100.0,50285,100.0,50285,41.0,50285,100.0,50285
174,10.0,236516,3.0,236516,14.0,236516,2.0,236516
175,100.0,31779,100.0,31779,34.0,31779,32.0,31779
176,100.0,211188,100.0,211188,100.0,211188,100.0,211188
177,2.0,46845,100.0,46845,5.0,46845,100.0,46845
178,4.0,11834,2.0,11834,5.0,11834,7.0,11834
179,3.0,35741,1.0,35741,0.0,35741,2.0,35741
180,100.0,86931,100.0,86931,60.0,86931,75.0,86931
181,27.0,221586,100.0,221586,74.0,221586,100.0,221586
182,0.0,199680,1.0,199680,2.0,199680,7.0,199680
183,100.0,252114,100.0,252114,100.0,252114,100.0,252114
184,4.0,37697,1.0,37697,4.0,37697,8.0,37697
185,100.0,77436,100.0,77436,100.0,77436,100.0,77436
186,9.0,9901,23.0,9901,10.0,9901,15.0,9901
187,36.0,50987,100.0,50987,58.0,50987,100.0,50987
188,9.0,264358,100.0,264358,15.0,264358,100.0,264358
189,12.0,281545,27.0,281545,29.0,281545,100.0,281545
190,0.0,40732,0.0,40732,2.0,40732,3.0,40732
191,1.0,49143,10.0,49143,9.0,49143,48.0,49143
192,6.0,47018,7.0,47018,7.0,47018,20.0,47018
193,1.0,232774,0.0,232774,1.0,232774,1.0,232774
194,100.0,69019,100.0,69019,65.0,69019,100.0,69019
195,100.0,45463,100.0,45463,11.0,45463,78.0,45463
196,100.0,52060,100.0,52060,53.0,52060,100.0,52060
197,2.0,271750,1.0,271750,1.0,271750,6.0,271750
198,17.0,183242,24.0,183242,22.0,183242,94.0,183242
199,100.0,11639,100.0,11639,23.0,11639,31.0,11639
200,1.0,52522,5.0,52522,2.0,52522,30.0,52522
201,100.0,189634,100.0,189634,14.0,189634,18.0,189634
202,20.0,12890,21.0,12890,6.0,12890,4.0,12890
203,51.0,51908,74.0,51908,87.0,51908,100.0,51908
204,100.0,52298,14.0,52298,4.0,52298,1.0,52298
205,25.0,43173,28.0,43173,30.0,43173,71.0,43173
206,100.0,11300,100.0,11300,41.0,11300,32.0,11300
207,100.0,11479,100.0,11479,100.0,11479,100.0,11479
208,7.0,10442,3.0,10442,10.0,10442,24.0,10442
209,2.0,9370,4.0,9370,1.0,9370,16.0,9370
210,3.0,10507,38.0,10507,9.0,10507,61.0,10507
211,33.0,199049,100.0,199049,65.0,199049,100.0,199049
212,4.0,188208,2.0,188208,4.0,188208,1.0,188208
213,82.0,59929,100.0,59929,100.0,59929,100.0,59929
214,100.0,41198,8.0,41198,1.0,41198,7.0,41198
215,2.0,47109,3.0,47109,2.0,47109,3.0,47109
216,2.0,10482,10.0,10482,6.0,10482,14.0,10482
217,4.0,202683,100.0,202683,1.0,202683,79.0,202683
218,100.0,9426,93.0,9426,100.0,9426,100.0,9426
219,100.0,165246,1.0,165246,0.0,165246,1.0,165246
220,100.0,205541,100.0,205541,14.0,205541,44.0,205541
221,100.0,10586,100.0,10586,61.0,10586,66.0,10586
222,15.0,11682,52.0,11682,13.0,11682,20.0,11682
223,100.0,12446,100.0,12446,100.0,12446,100.0,12446
224,2.0,9826,3.0,9826,3.0,9826,17.0,9826
225,13.0,142461,19.0,142461,17.0,142461,39.0,142461
226,100.0,11456,100.0,11456,4.0,11456,73.0,11456
227,52.0,35172,15.0,35172,14.0,35172,20.0,35172
228,0.0,56722,100.0,56722,3.0,56722,100.0,56722
229,1.0,32875,3.0,32875,1.0,32875,3.0,32875
230,2.0,49204,3.0,49204,5.0,49204,5.0,49204
231,0.0,222219,0.0,222219,0.0,222219,2.0,222219
232,0.0,193017,0.0,193017,0.0,193017,1.0,193017
233,27.0,11895,100.0,11895,32.0,11895,100.0,11895
234,23.0,12610,100.0,12610,24.0,12610,4.0,12610
235,68.0,51272,100.0,51272,100.0,51272,90.0,51272
236,100.0,11342,100.0,11342,62.0,11342,32.0,11342
237,21.0,198525,14.0,198525,22.0,198525,22.0,198525
238,100.0,251019,100.0,251019,100.0,251019,100.0,251019
239,45.0,62729,100.0,62729,86.0,62729,100.0,62729
240,12.0,147931,100.0,147931,34.0,147931,76.0,147931
241,100.0,158001,100.0,158001,24.0,158001,59.0,158001
242,9.0,58907,100.0,58907,21.0,58907,68.0,58907
243,0.0,34325,0.0,34325,0.0,34325,7.0,34325
244,2.0,12630,12.0,12630,3.0,12630,45.0,12630
245,5.0,213925,16.0,213925,7.0,213925,12.0,213925
246,15.0,225817,100.0,225817,21.0,225817,100.0,225817
247,100.0,253004,100.0,253004,100.0,253004,100.0,253004
248,50.0,55495,43.0,55495,25.0,55495,44.0,55495
249,2.0,59623,68.0,59623,7.0,59623,100.0,59623
250,3.0,64448,6.0,64448,3.0,64448,3.0,64448
251,100.0,54857,100.0,54857,100.0,54857,100.0,54857
252,4.0,10420,59.0,10420,16.0,10420,100.0,10420
253,1.0,52203,18.0,52203,4.0,52203,17.0,52203
254,100.0,124896,100.0,124896,100.0,124896,100.0,124896
255,23.0,155486,16.0,155486,8.0,155486,16.0,155486
256,0.0,38222,2.0,38222,0.0,38222,2.0,38222
257,93.0,9650,100.0,9650,100.0,9650,100.0,9650
258,2.0,88306,4.0,88306,2.0,88306,4.0,88306
259,100.0,38465,100.0,38465,100.0,38465,100.0,38465
260,100.0,228823,100.0,228823,64.0,228823,100.0,228823
261,100.0,159466,56.0,159466,100.0,159466,90.0,159466
262,100.0,10267,100.0,10267,24.0,10267,35.0,10267
263,55.0,10637,81.0,10637,39.0,10637,28.0,10637
264,24.0,9955,100.0,9955,42.0,9955,100.0,9955
265,29.0,10271,69.0,10271,10.0,10271,13.0,10271
266,4.0,30014,5.0,30014,8.0,30014,14.0,30014
267,22.0,33287,100.0,33287,37.0,33287,52.0,33287
268,0.0,238531,7.0,238531,1.0,238531,89.0,238531
269,5.0,64472,2.0,64472,3.0,64472,35.0,64472
270,100.0,191972,5.0,191972,39.0,191972,21.0,191972
271,8.0,54181,7.0,54181,9.0,54181,15.0,54181
272,100.0,57938,100.0,57938,100.0,57938,100.0,57938
273,6.0,9778,9.0,9778,5.0,9778,12.0,9778
274,35.0,9450,100.0,9450,18.0,9450,55.0,9450
275,5.0,191070,100.0,191070,10.0,191070,100.0,191070
276,16.0,69754,100.0,69754,45.0,69754,100.0,69754
277,0.0,10765,12.0,10765,0.0,10765,49.0,10765
278,1.0,203119,85.0,203119,3.0,203119,77.0,203119
279,100.0,49065,100.0,49065,2.0,49065,76.0,49065
280,100.0,211562,6.0,211562,0.0,211562,3.0,211562
281,100.0,31491,100.0,31491,100.0,31491,100.0,31491
282,0.0,56056,0.0,56056,0.0,56056,3.0,56056
283,29.0,196035,100.0,196035,58.0,196035,76.0,196035
284,1.0,198181,1.0,198181,1.0,198181,1.0,198181
285,50.0,9915,100.0,9915,53.0,9915,100.0,9915
286,2.0,9446,2.0,9446,7.0,9446,19.0,9446
287,100.0,168156,100.0,168156,100.0,168156,100.0,168156
288,10.0,30490,28.0,30490,9.0,30490,19.0,30490
289,100.0,199753,100.0,199753,100.0,199753,100.0,199753
290,1.0,9256,1.0,9256,1.0,9256,13.0,9256
291,47.0,11375,33.0,11375,53.0,11375,33.0,11375
292,6.0,12220,16.0,12220,7.0,12220,75.0,12220
293,96.0,45251,100.0,45251,100.0,45251,100.0,45251
294,37.0,9893,100.0,9893,21.0,9893,14.0,9893
295,38.0,9305,28.0,9305,26.0,9305,43.0,9305
296,100.0,77336,100.0,77336,100.0,77336,100.0,77336
297,100.0,28327,77.0,28327,21.0,28327,81.0,28327
298,54.0,35684,54.0,35684,54.0,35684,54.0,35684
299,0.0,86246,9.0,86246,2.0,86246,22.0,86246
300,11.0,189159,9.0,189159,9.0,189159,25.0,189159
301,15.0,12216,33.0,12216,15.0,12216,26.0,12216
302,37.0,41766,87.0,41766,39.0,41766,83.0,41766
303,7.0,36437,8.0,36437,6.0,36437,8.0,36437
304,100.0,192938,100.0,192938,3.0,192938,2.0,192938
305,7.0,84806,22.0,84806,2.0,84806,13.0,84806
306,100.0,188820,64.0,188820,11.0,188820,54.0,188820
307,100.0,44821,100.0,44821,100.0,44821,100.0,44821
308,100.0,215487,100.0,215487,100.0,215487,100.0,215487
309,100.0,243208,100.0,243208,16.0,243208,75.0,243208
310,30.0,9108,3.0,9108,27.0,9108,48.0,9108
311,8.0,9221,46.0,9221,11.0,9221,15.0,9221
312,3.0,208466,11.0,208466,14.0,208466,34.0,208466
313,0.0,9364,0.0,9364,0.0,9364,5.0,9364
314,100.0,54933,22.0,54933,24.0,54933,47.0,54933
315,100.0,10397,2.0,10397,0.0,10397,2.0,10397
316,0.0,204042,0.0,204042,0.0,204042,0.0,204042
317,3.0,83681,5.0,83681,4.0,83681,8.0,83681
318,100.0,10401,100.0,10401,100.0,10401,100.0,10401
319,0.0,195052,0.0,195052,0.0,195052,3.0,195052
320,6.0,12152,8.0,12152,14.0,12152,37.0,12152
321,100.0,216842,100.0,216842,100.0,216842,100.0,216842
322,12.0,9466,27.0,9466,20.0,9466,88.0,9466
323,2.0,55461,1.0,55461,2.0,55461,3.0,55461
324,47.0,65757,100.0,65757,57.0,65757,100.0,65757
325,34.0,10712,61.0,10712,4.0,10712,95.0,10712
326,2.0,61981,6.0,61981,0.0,61981,3.0,61981
327,0.0,217341,100.0,217341,2.0,217341,100.0,217341
328,13.0,243232,100.0,243232,32.0,243232,100.0,243232
329,100.0,12001,100.0,12001,100.0,12001,100.0,12001
330,100.0,10196,100.0,10196,35.0,10196,100.0,10196
331,4.0,62867,37.0,62867,13.0,62867,43.0,62867
332,46.0,103921,25.0,103921,49.0,103921,23.0,103921
333,44.0,240550,1.0,240550,59.0,240550,41.0,240550
334,2.0,11276,0.0,11276,0.0,11276,2.0,11276
335,100.0,11626,100.0,11626,100.0,11626,100.0,11626
336,77.0,10172,100.0,10172,35.0,10172,62.0,10172
337,13.0,191958,100.0,191958,36.0,191958,100.0,191958
338,100.0,190076,51.0,190076,17.0,190076,37.0,190076
339,27.0,106631,100.0,106631,80.0,106631,100.0,106631
340,54.0,9528,100.0,9528,97.0,9528,100.0,9528
341,100.0,29874,100.0,29874,61.0,29874,53.0,29874
342,1.0,11237,3.0,11237,2.0,11237,9.0,11237
343,5.0,50845,12.0,50845,8.0,50845,72.0,50845
344,9.0,197658,100.0,197658,20.0,197658,100.0,197658
345,10.0,44257,100.0,44257,53.0,44257,100.0,44257
346,0.0,204767,0.0,204767,0.0,204767,0.0,204767
347,100.0,54579,100.0,54579,100.0,54579,100.0,54579
348,100.0,45554,100.0,45554,100.0,45554,100.0,45554
349,7.0,284518,37.0,284518,7.0,284518,53.0,284518
350,0.0,9050,27.0,9050,3.0,9050,83.0,9050
351,100.0,44996,100.0,44996,37.0,44996,100.0,44996
352,0.0,10365,61.0,10365,6.0,10365,100.0,10365
353,20.0,12708,9.0,12708,5.0,12708,4.0,12708
354,100.0,245396,100.0,245396,100.0,245396,100.0,245396
355,9.0,251156,100.0,251156,28.0,251156,100.0,251156
356,100.0,31341,100.0,31341,100.0,31341,100.0,31341
357,78.0,41413,53.0,41413,28.0,41413,46.0,41413
358,85.0,115396,100.0,115396,100.0,115396,100.0,115396
359,16.0,10892,13.0,10892,17.0,10892,12.0,10892
360,20.0,32849,34.0,32849,36.0,32849,84.0,32849
361,0.0,210987,7.0,210987,0.0,210987,6.0,210987
362,60.0,11446,100.0,11446,25.0,11446,5.0,11446
363,0.0,122266,0.0,122266,1.0,122266,5.0,122266
364,100.0,45020,16.0,45020,24.0,45020,41.0,45020
365,44.0,12440,32.0,12440,16.0,12440,49.0,12440
366,99.0,35363,100.0,35363,2.0,35363,2.0,35363
367,69.0,10241,100.0,10241,21.0,10241,55.0,10241
368,100.0,9066,100.0,9066,5.0,9066,12.0,9066
369,100.0,208820,100.0,208820,100.0,208820,100.0,208820
370,100.0,108176,100.0,108176,100.0,108176,100.0,108176
371,22.0,225718,100.0,225718,81.0,225718,100.0,225718
372,13.0,227375,100.0,227375,16.0,227375,100.0,227375
373,100.0,35898,23.0,35898,13.0,35898,15.0,35898
